A-0.6	Accessible Canada Act
B-8.2	British Columbia Grain Handling Operations Act
B-8.3	British Columbia Indian Cut-off Lands Settlement Act
B-8.4	British Columbia Indian Reserves Mineral Resources Act
B-8.5	British Columbia Treaty Commission Act
B-8	Bridges Act
B-9.01	Broadcasting Act
B-9.6	Budget and Economic Statement Implementation Act, 2007
B-9.81	Budget Implementation Act, 1997
B-9.82	Budget Implementation Act, 1998
B-9.83	Budget Implementation Act, 1999
B-9.84	Budget Implementation Act, 2000
B-9.851	Budget Implementation Act, 2003
B-9.852	Budget Implementation Act, 2004
B-9.853	Budget Implementation Act, 2004, No. 2
B-9.854	Budget Implementation Act, 2005
B-9.855	Budget Implementation Act, 2006
B-9.856	Budget Implementation Act, 2007
B-9.857	Budget Implementation Act, 2008
B-9.858	Budget Implementation Act, 2009
B-9.8591	Budget Implementation Act, 2017, No. 2
B-9.8592	Budget Implementation Act, 2018, No. 1
B-9.8593	Budget Implementation Act, 2019, No. 1
B-9.8594	Budget Implementation Act, 2021, No. 1
B-9.8595	Budget Implementation Act, 2022, No. 1
B-9.8596	Budget Implementation Act, 2024, No. 1
B-9.859	Budget Implementation Act, 2017, No. 1
B-9.85	Budget Implementation Act, 2001
B-9.86	Buffalo and Fort Erie Public Bridge Company Act
B-9.88	Building a Green Prairie Economy Act
B-9.89	Building Canada Act
B-9.8	Budget Implementation Act, 1995
B-9.9	Business Development Bank of Canada Act
C-0.2	CN Commercialization Act
C-0.3	Campobello-Lubec Bridge Act
C-0.4	Canada Agricultural Products Act
C-0.5	Canada and Taiwan Territories Tax Arrangement Act, 2016
C-0.6	Canada-Argentina Income Tax Convention Act, 1994
C-0.7	Canada–Armenia Tax Convention Act, 2004
C-10.10	Canada Recovery Benefits Act
C-10.11	Canada Revenue Agency Act
C-10.13	Canada School of Public Service Act
C-10.14	Canada–Serbia Tax Convention Act, 2013
C-10.15	Canada Shipping Act, 2001
C-10.1	Canada Prize Act
C-10.2	Canada Small Business Financing Act
C-10.3	Canada Strategic Infrastructure Fund Act
C-10.4	Canada Transportation Act
C-10.52	Canada–Turkey Tax Convention Act, 2010
C-10.541	Canada–Ukraine Free Trade Agreement Implementation Act, 2023
C-10.54	Canada–Ukraine Free Trade Agreement Implementation Act
C-10.55	Canada — United Arab Emirates Tax Convention Act, 2002
C-10.56	Canada–United Kingdom Trade Continuity Agreement Implementation Act
C-10.58	Canada–United States Enhanced Tax Information Exchange Agreement Implementation Act
C-10.5	Canada Travelling Exhibitions Indemnification Act
C-10.65	Canada–United States–Mexico Agreement Implementation Act
C-10.6	Canada-United States Free Trade Agreement Implementation Act
C-10.7	Canada–United States Tax Convention Act, 1984
C-10	Canada Post Corporation Act
C-11.001	Canada Water Agency Act
C-11.01	Canada Worker Lockdown Benefit Act
C-11.1	Canada–Yukon Oil and Gas Accord Implementation Act
C-11.2	Canadian Air Transport Security Authority Act
C-11.4	Canadian Arsenals Limited Divestiture Authorization Act
C-11.7	Canadian Association of Former Parliamentarians Act
C-11	Canada Water Act
C-12.3	Canadian Bill of Rights
C-1.2	Canada–Azerbaijan Tax Convention Act, 2004
C-13.4	Canadian Centre on Substance Abuse Act
C-13.7	Canadian Commercial Bank Financial Assistance Act
C-1.3	Canada-Belgium Income Tax Convention Act, 1976
C-13	Canadian Centre for Occupational Health and Safety Act
C-1.4	Canada Border Services Agency Act
C-14	Canadian Commercial Corporation Act
C-15.1	Canadian Energy Regulator Act
C-15.21	Canadian Environmental Assessment Act, 2012
C-15.2	Canadian Environmental Assessment Act
C-15.31	Canadian Environmental Protection Act, 1999
C-1.5	Canada-Brazil Income Tax Convention Act, 1984
C-15	Canadian Dairy Commission Act
C-1.65	Canada–Colombia Free Trade Agreement Implementation Act
C-16.5	Canadian Food Inspection Agency Act
C-1.66	Canada–Colombia Tax Convention Act, 2010
C-1.68	Canada Consumer Product Safety Act
C-16.8	Veterans Well-being Act
C-1.6	Canada-Chile Free Trade Agreement Implementation Act
C-16	Telefilm Canada Act
C-17.15	Canadian Free Trade Agreement Implementation Act
C-17.2	Canadian Gender Budgeting Act
C-17.3	Department of Canadian Heritage Act
C-17.6	Canadian Heritage Languages Institute Act
C-17.8	Canadian High Arctic Research Station Act
C-1.7	Canada Cooperatives Act
C-17	Canadian Forces Superannuation Act
C-18.1	Canadian Institutes of Health Research Act
C-18.3	Canadian International Trade Tribunal Act
C-18.4	Canadian Jewish Heritage Month Act
C-18.7	Canadian Multiculturalism Act
C-1.8	Canada Corporations Act
C-19.1	Canadian National Montreal Terminals Act, 1929
C-19.3	Canadian Net-Zero Emissions Accountability Act
C-1.9	Canada-Costa Rica Free Trade Agreement Implementation Act
C-20	Canadian Ownership and Control Determination Act
C-21.1	Canadian Peacekeeping Service Medal Act
C-21.3	Canadian Polar Commission Act
C-21.8	Canadian Race Relations Foundation Act
C-21	Canadian Payments Act
C-22.4	Canadian Red Cross Society Act
C-22	Canadian Radio-television and Telecommunications Commission Act
C-23.05	Canadian Securities Regulation Regime Transition Office Act
C-23.25	Canadian Sustainable Jobs Act
C-23.2	Canadian Space Agency Act
C-23.3	Canadian Tourism Commission Act
C-23.4	Canadian Transportation Accident Investigation and Safety Board Act
C-23.7	Canadian Victims Bill of Rights
C-23	Canadian Security Intelligence Service Act
C-24.2	Canadian Wheat Board (Interim Operations) Act
C-24.5	Cannabis Act
C-24	Canadian Wheat Board Act
C-25.2	Cape Breton Development Corporation Divestiture Authorization and Dissolution Act
C-25	Cape Breton Development Corporation Act
C-26	Carriage by Air Act
C-27.2	Caughnawaga Indian Reserve Act
C-27.4	Celebrating Canada’s Seniors Act
C-27.55	Charities Registration (Security Information) Act
C-27.5	Centennial Flame Research Award Act
C-27.6	Chemical Weapons Convention Implementation Act
C-27.7	Child Day Act
C-28.51	Children’s Special Allowances Act
C-28.5	Children’s Special Allowances Act
C-28	Children of Deceased Veterans Education Assistance Act
C-29.4	Department of Citizenship and Immigration Act
C-29.7	Civil Air Navigation Services Commercialization Act
C-29	Citizenship Act
C-2	Canada Council for the Arts Act
C-30	Canada-United Kingdom Civil and Commercial Judgments Convention Act
C-31.3	Civil International Space Station Agreement Implementation Act
C-31.4	Civil Lunar Gateway Agreement Implementation Act
C-31.5	Civil Marriage Act
C-31.6	Civil Service Insurance Act
C-31.7	Claim Settlements (Alberta and Saskatchewan) Implementation Act
C-31.8	Clarity Act
C-31	Civilian War-related Benefits Act
C-33.3	Coasting Trade Act
C-33.6	College of Immigration and Citizenship Consultants Act
C-33.7	College of Patent Agents and Trademark Agents Act
C-33	Coastal Fisheries Protection Act
C-3.45	Canada Disability Benefit Act
C-34.6	Commercial Arbitration Act
C-3.4	Canada Development Corporation Reorganization Act
C-34	Competition Act
C-35.3	Communications Security Establishment Act
C-3.55	Canada Early Learning and Child Care Act
C-3.5	Canada Disability Savings Act
C-36.45	Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act
C-36.4	Competition Tribunal Act
C-3.65	Canada–EFTA Free Trade Agreement Implementation Act
C-36.5	Comprehensive Nuclear Test-Ban Treaty Implementation Act
C-36.65	Conflict of Interest Act
C-36.6	Condominium Ordinance Validation Act
C-36.71	Preserving Provincial Representation in the House of Commons Act
C-36.75	Consumer-Driven Banking Act
C-36.7	Constitutional Amendments
C-3.6	Canada Education Savings Act
C-36	Companies’ Creditors Arrangement Act
C-3.75	Canada Emergency Student Benefit Act
C-3.7	Canada Emergency Response Benefit Act
C-38.5	An Act to incorporate Continental Bank of Canada
C-38.7	Contraventions Act
C-38.8	Controlled Drugs and Substances Act
C-3.8	Canada Emission Reduction Incentives Agency Act
C-38	Consumer Packaging and Labelling Act
C-3	Canada Deposit Insurance Corporation Act
C-41.01	Cooperative Credit Associations Act
C-41.5	Cooperative Energy Act
C-42	Copyright Act
C-43	Corporations Returns Act
C-44.6	Corrections and Conditional Release Act
C-4.4	Canada Employment Insurance Financing Board Act
C-44	Canada Business Corporations Act
C-45.2	Corruption of Foreign Public Officials Act
C-45.5	Courts Administration Service Act
C-45.6	An Act respecting certain measures related to COVID-19
C-45.75	Cree Nation of Eeyou Istchee Governance Agreement Act
C-45.7	Naskapi and the Cree-Naskapi Commission Act
C-45.9	Crimes Against Humanity and War Crimes Act
C-46	Criminal Code
C-47	Criminal Records Act
C-4.8	Canada–European Union Comprehensive Economic and Trade Agreement Implementation Act
C-49.6	Crown Corporations Dissolution or Transfer Authorization Act
C-49.8	Department of Crown-Indigenous Relations and Northern Affairs Act
C-49	Advance Payments for Crops Act
C-50	Crown Liability and Proceedings Act
C-51	Cultural Property Export and Import Act
C-52.6	Customs Act
C-5.2	Canada–Finland Tax Convention Act, 2006
C-52	Currency Act
C-53	Customs and Excise Offshore Application Act
C-54.011	Customs Tariff
C-5.5	Canada Foundation for Sustainable Development Technology Act
C-5.7	Canada Fund for Africa Act
C-5.85	Canada-Germany Tax Agreement Act, 1982
C-5.8	Canada–Gabon Tax Convention Act, 2004
C-5.9	Canada–Greece Tax Convention Act, 2010
C-5	Canada Evidence Act
C-6.10	Canada–Honduras Economic Growth and Prosperity Act
C-6.15	Canada–Hong Kong Tax Agreement Act, 2013
C-6.18	Canada Infrastructure Bank Act
C-6.19	Canada Innovation Corporation Act
C-6.1	Canada Health Care, Early Childhood Development and Other Social Services Funding Act
C-6.2	Canadair Limited Divestiture Authorization Act
C-6.3	Canada–Ireland Tax Convention Act, 2004
C-6.42	Canada–Israel Tax Convention Act, 2016
C-6.45	Canada–Jordan Economic Growth and Prosperity Act
C-6.48	Canada–Korea Economic Growth and Prosperity Act
C-6.4	Canada-Israel Free Trade Agreement Implementation Act
C-6.5	Canada–Korea Income Tax Convention Act, 1980
C-6.65	Canada–Madagascar Tax Convention Act, 2018
C-6.6	Canada — Kuwait Tax Agreement Act, 2002
C-6.7	Canada Marine Act
C-6.85	Canada–Mexico Tax Convention Act, 2006
C-6.87	Canada-Mexico Tax Information Exchange Convention Act, 1991
C-6.94	Canada — Mongolia Tax Convention Act, 2002
C-6.9	Canada — Moldova Tax Convention Act, 2002
C-6	Canada Health Act
C-7.2	Canada–Namibia Tax Convention Act, 2013
C-7.3	Canada National Marine Conservation Areas Act
C-7.5	Canada–Newfoundland and Labrador Atlantic Accord Implementation and Offshore Renewable Energy Management Act
C-7.75	Canada Not-for-profit Corporations Act
C-7.7	Canada — Norway Tax Convention Act, 2002
C-7.8	Canada–Nova Scotia Offshore Petroleum Resources Accord Implementation and Offshore Renewable Energy Management Act
C-7.95	Canada–Panama Economic Growth and Prosperity Act
C-7.9	Canada–Oman Tax Agreement Act, 2004
C-7	Canada Mortgage and Housing Corporation Act
C-8.3	Canada Pension Plan Investment Board Act
C-8.4	Canada–Peru Free Trade Agreement Implementation Act
C-8.5	Canada Petroleum Resources Act
C-8.8	Canada–Poland Tax Convention Act, 2013
C-8	Canada Pension Plan
D-0.5	Debt Servicing and Reduction Account Act
D-1.3	Defence Services Pension Continuation Act
D-1.55	Dental Benefit Act
D-1.57	Dental Care Measures Act
D-1.59	Department of Housing, Infrastructure and Communities Act
D-1.5	Déline Final Self-Government Agreement Act
D-1.65	Digital Services Tax Act
D-1.6	Depository Bills and Notes Act
D-1	Defence Production Act
D-2.5	Director of Public Prosecutions Act
D-2.8	Disability Tax Credit Promoters Restrictions Act
D-2	Diplomatic Service (Special) Superannuation Act
D-3.4	Divorce Act
D-3.8	DNA Identification Act
D-3.9	Donkin Coal Block Development Opportunity Act
D-4	Dry Docks Subsidies Act
E-0.6	Economic Action Plan 2013 Act, No. 1
E-0.7	Economic Action Plan 2013 Act, No. 2
E-0.8	Economic Action Plan 2014 Act, No. 1
E-0.93	Economic and Fiscal Update Implementation Act, 2021
E-0.9	Economic Action Plan 2015 Act, No. 1
E-10	Department of the Environment Act
E-11	Canadian Environment Week Act
E-12.5	Environmental Violations Administrative Monetary Penalties Act
E-13.5	European Bank for Reconstruction and Development Agreement Act
E-13.7	Exchequer Court Act
E-1.3	Economic Development Agency of Canada for the Regions of Quebec Act
E-13	Escheats Act
E-14.1	Excise Act, 2001
E-1.45	Economic Statement Implementation Act, 2020
E-1.4	Economic Recovery Act (stimulus)
E-14	Excise Act
E-15.5	Expenditure Restraint Act
E-1.5	Eeyou Marine Region Land Claims Agreement Act
E-15	Excise Tax Act
E-1.6	An Act to promote the efficiency and adaptability of the Canadian economy by regulating certain activities that discourage reliance on electronic means of carrying out commercial activities, and to amend the Canadian Radio-television and Telecommunications Commission Act, the Competition Act, the Personal Information Protection and Electronic Documents Act and the Telecommunications Act
E-16	Experimental Farm Stations Act
E-1.7	Eldorado Nuclear Limited Reorganization and Divestiture Act
E-17	Explosives Act
E-18.5	Export and Import of Rough Diamonds Act
E-18	Export Act
E-19	Export and Import Permits Act
E-2.01	Canada Elections Act
E-20	Export Development Act
E-21.5	Expungement of Historically Unjust Convictions Act
E-21	Expropriation Act
E-22.7	Extractive Sector Transparency Measures Act
E-22	Department of Foreign Affairs and International Trade Act
E-23.01	Extradition Act
E-3.1	Electoral Boundaries Readjustment Suspension Act, 1994
E-3	Electoral Boundaries Readjustment Act
E-4.56	Emergency Management Act
E-4.5	Emergencies Act
E-4.6	Emergency Preparedness Act
E-4	Electricity and Gas Inspection Act
E-5.401	Employment Equity Act
E-5.6	Employment Insurance Act
E-5.8	Employment Support Act
E-6.2	Energy Costs Assistance Measures Act
E-6.4	Energy Efficiency Act
E-6	Energy Administration Act
E-8	Energy Monitoring Act
E-9.5	Enterprise Cape Breton Corporation Act
E-9	Energy Supplies Emergency Act
F-0.7	Fall Economic Statement Implementation Act, 2022
F-10.6	Fighting Against Forced Labour and Child Labour in Supply Chains Act
F-10	Fertilizers Act
F-11.1	Financial Consumer Agency of Canada Act
F-11.2	Financial Institutions
F-11.3	Financial Institutions and Deposit Insurance System Amendment Act
F-11.4	Financial Institutions Depositors Compensation Act
F-11.64	First Nations Commercial and Industrial Development Act
F-11.65	First Nations Elections Act
F-11.66	First Nations Financial Transparency Act
F-11.67	First Nations Fiscal Management Act
F-11.6	Firearms Act
F-11.73	An Act respecting First Nations, Inuit and Métis children, youth and families
F-11.75	First Nations Jurisdiction over Education in British Columbia Act
F-11.7	First Nations Goods and Services Tax Act
F-11.8	First Nations Land Management Act
F-11.9	First Nations Oil and Gas and Moneys Management Act
F-11	Financial Administration Act
F-1.2	Family Homes on Reserves and Matrimonial Interests or Rights Act
F-12	Fish Inspection Act
F-13	Freshwater Fish Marketing Act
F-1.4	Family Orders and Agreements Enforcement Assistance Act
F-14	Fisheries Act
F-15	Department of Fisheries and Oceans Act
F-17	Great Lakes Fisheries Convention Act
F-21	Fisheries Development Act
F-2.27	Farm Debt Mediation Act
F-2.2	Farm Credit Canada Act
F-22	Fisheries Improvement Loans Act
F-24	Fishing and Recreational Harbours Act
F-25	Fitness and Amateur Sport Act
F-26	Food and Agriculture Organization of the United Nations Act
F-27.3	Food Day in Canada Act
F-27.5	Department of Foreign Affairs, Trade and Development Act
F-2.7	Canadian Agricultural Loans Act
F-27	Food and Drugs Act
F-28	Foreign Enlistment Act
F-29.2	Foreign Influence Transparency and Accountability Act
F-29.4	Foreign Missions and International Organizations Act
F-29.6	Foreign Publishers Advertising Services Act
F-29	Foreign Extraterritorial Measures Act
F-30.2	Forgiveness of Certain Official Development Assistance Debts Act
F-30.4	Forgiveness of Debts (sub-Saharan Africa) Act
F-30	Forestry Act
F-31.2	Fort-Falls Bridge Authority Act
F-31.46	Framework Agreement on First Nation Land Management Act
F-31.4	Fort Nelson Indian Reserve Minerals Revenue Sharing Act
F-31.55	Free Trade and Labour Mobility in Canada Act
F-31.5	Framework on Palliative Care in Canada Act
F-31.6	Freezing Assets of Corrupt Foreign Officials Act
F-31.7	Fruit and Vegetable Customs Orders Validation Act
F-32.5	An Act respecting the provision of funding for diagnostic and medical equipment
F-3.3	Farm Income Protection Act
F-3	Farm Improvement Loans Act
F-4	Farm Products Agencies Act
F-5.5	Federal Accountability Act
F-5.8	Federal Balanced Budget Act
F-7.33	Federal Framework on Autism Spectrum Disorder Act
F-7.35	Federal Framework on Lyme Disease Act
F-7.38	Federal Framework on Post-Traumatic Stress Disorder Act
F-7.3	Federal Framework for Suicide Prevention Act
F-7.5	Federal Law—Civil Law Harmonization Act, No. 1
F-7.7	Federal Prompt Payment for Construction Work Act
F-7.8	Federal-Provincial Fiscal Arrangements Act
F-7	Federal Courts Act
F-8.2	Federal-Provincial Fiscal Arrangements Act, 1972
F-8.4	Federal Real Property and Federal Immovables Act
F-8.6	Federal Sustainable Development Act
F-8	Federal-Provincial Fiscal Arrangements Act
F-9	Feeds Act
G-10	Canada Grain Act
G-11.2	An Act to authorize the granting of an immediate annuity to the Honourable Mr. Justice Donald Raymond Morand
G-11.4	Grassy Narrows and Islington Indian Bands Mercury Pollution Claims Settlement Act
G-11.55	Greenhouse Gas Pollution Pricing Act
G-11.6	Greenhouse Gas Technology Investment Fund Act
G-11.8	Gwich’in Land Claim Settlement Act
G-2.3	Gender Equality Week Act
G-2.5	Genetic Non-Discrimination Act
G-2	Garnishment, Attachment and Pension Diversion Act
G-3.3	Global Minimum Tax Act
G-3.7	Government Annuities Act
G-3.8	Government Annuities Improvement Act
G-3	Geneva Conventions Act
G-4	Government Corporations Operation Act
G-5.3	An Act respecting the Government House property, Toronto
G-5.7	Government Organization Act, Atlantic Canada, 1987
G-5	Government Employees Compensation Act
G-6	Government Property Traffic Act
G-7.4	Government Services Act, 1999
G-7.6	Government Services Resumption Act
G-9	Governor General’s Act
H-0.3	Haida Nation Recognition Act
H-0.5	Halifax Relief Commission Pension Continuation Act
H-1	Harbour Commissions Act
H-2.71	An Act to amend the Hazardous Products Act and the Canada Labour Code, to enact the Hazardous Materials Information Review Act and to amend other Acts in relation thereto
H-2.7	Hazardous Materials Information Review Act
H-3.2	Department of Health Act
H-3.3	Health of Animals Act
H-3.4	Heritage Lighthouse Protection Act
H-3.5	Heritage Railway Stations Protection Act
H-3.76	High Risk Child Sex Offender Database Act
H-3.7	Hibernia Development Project Act
H-3.8	Highway 30 Completion Bridges Act
H-3	Hazardous Products Act
H-4	Historic Sites and Monuments Act
H-5.4	Holocaust Memorial Day Act
H-5.67	Human Pathogens and Toxins Act
H-5.6	An Act respecting the Hudson Bay Mining and Smelting Co., Limited
H-5.7	Department of Employment and Social Development Act
H-5.8	Department of Human Resources Development Act
H-5	Holidays Act
H-6	Canadian Human Rights Act
I-11.8	Insurance Companies Act
I-11	Inquiries Act
I-14.6	Integrated Circuit Topography Act
I-14.7	Integrated Cross-border Law Enforcement Operations Act
I-14.85	Intelligence Commissioner Act
I-15	Interest Act
I-16	International Boundary Commission Act
I-17.05	International Bridges and Tunnels Act
I-17.3	International Centre for Human Rights and Democratic Development Act
I-17	International Boundary Waters Treaty Act
I-18.1	An Act concerning an order under the International Development (Financial Institutions) Assistance Act
I-18	International Development (Financial Institutions) Assistance Act
I-19.3	International Financial Assistance Act
I-19.6	International Interests in Mobile Equipment (aircraft equipment) Act
I-19.7	International Mother Language Day Act
I-19.8	International Rapids Power Development Act
I-19	International Development Research Centre Act
I-1	Identification of Criminals Act
I-20.4	International Sale of Goods Contracts Convention Act
I-20.6	International Transfer of Offenders Act
I-20.7	An Act respecting the mandatory reporting of Internet child pornography by persons who provide an Internet service
I-20.8	Internment of Persons of Ukrainian Origin Recognition Act
I-20	International River Improvements Act
I-21.5	Invest in Canada Act
I-21.8	Investment Canada Act
I-21	Interpretation Act
I-2.5	Immigration and Refugee Protection Act
I-2.75	Impact Assessment Act
I-3.31	Income Tax Application Rules
I-3.3	Income Tax Act
I-3.51	Income Tax Conventions Implementation Act, 1996
I-3.52	Income Tax Conventions Implementation Act, 1997
I-3.53	Income Tax Conventions Implementation Act, 1998
I-3.54	Income Tax Conventions Implementation Act, 1999
I-3.55	Income Tax Conventions Implementation Act, 2001
I-3.5	Income Tax Conventions Implementation Act, 1995
I-3	Importation of Intoxicating Liquors Act
I-4	Income Tax Conventions Interpretation Act
I-5.3	Indian Act Amendment and Replacement Act
I-5	Indian Act
I-6.7	Indian Lands Agreement (1986) Act
I-6	Department of Indian Affairs and Northern Development Act
I-7.2	An Act for the settlement of certain questions between the Governments of Canada and Ontario respecting Indian Reserve Lands
I-7.4	Indian Reserves of Nova Scotia Act
I-7.7	Indian (Soldier Settlement) Act
I-7.85	Indigenous Languages Act
I-7.88	Department of Indigenous Services Act
I-7	Indian Oil and Gas Act
I-8	Industrial and Regional Development Act
I-9.2	Department of Industry Act
I-9.8	Injured Military Members Compensation Act
I-9	Industrial Design Act
J-0.3	James Bay and Northern Quebec Native Claims Settlement Act
J-0.7	Jobs and Economic Growth Act
J-0.8	Jobs, Growth and Long-term Prosperity Act
J-0.9	Journey to Freedom Day Act
J-1.5	An Act to incorporate the Jules and Paul-Émile Léger Foundation
J-1	Judges Act
J-2.3	Justice for Victims of Corrupt Foreign Officials Act (Sergei Magnitsky Law)
J-2.5	Justice for Victims of Terrorism Act
J-2	Department of Justice Act
K-0.5	Kanesatake Interim Land Base Governance Act
K-0.65	Kelowna Accord Implementation Act
K-0.7	Kindness Week Act
K-0.8	Kingsmere Park Act
K-6.5	Korean War Veterans Day Act
K-9.5	Kyoto Protocol Implementation Act
L-10	Livestock Feed Assistance Act
L-12.4	Lobbying Act
L-1	Labour Adjustment Benefits Act
L-2	Canada Labour Code
L-4.3	Labrador Inuit Land Claims Agreement Act
L-4	Fair Wages and Hours of Labour Act
L-5.2	Land Titles Repeal Act
L-5.8	Canada Lands Surveyors Act
L-6.2	Language Skills Act
L-6.4	Latin American Heritage Month Act
L-6.5	Laurier House Act
L-6.7	Law Commission of Canada Act
L-6	Canada Lands Surveys Act
L-7.3	Lebanese Heritage Month Act
L-7.5	Legislative Instruments Re-enactment Act
L-7.7	Library and Archives of Canada Act
L-8.5	Lincoln Alexander Day Act
L-8	Lieutenant Governors Superannuation Act
M-0.15	Mackenzie Gas Project Impacts Fund Act
M-0.1	Mackenzie Gas Project Impacts Act
M-0.23	Main Point of Contact with the Government of Canada in case of Death Act
M-0.25	Maintenance of Ports Operations Act, 1986
M-0.2	Mackenzie Valley Resource Management Act
M-0.3	Maintenance of Railway Operations Act, 1995
M-0.53	Manitoba Claim Settlement Implementation Act (Norway House Cree Nation)
M-0.54	Manitoba Supplementary Provisions Act
M-0.55	Maanulth First Nations Final Agreement Act
M-0.56	Marine War Risks Act
M-0.58	Marine Atlantic Inc. Acquisition Authorization Act
M-0.5	Manganese-based Fuel Additives Act
M-0.6	Marine Insurance Act
M-0.7	Marine Liability Act
M-0.8	Marine Transportation Security Act
M-10.01	Motor Vehicle Safety Act
M-12.01	Motor Vehicle Transport Act
M-12.8	Multilateral Instrument in Respect of Tax Conventions Act
M-13.4	Museums Act
M-13.6	Mutual Legal Assistance in Criminal Matters Act
M-13	Payments in Lieu of Taxes Act
M-1.5	Marketing Freedom for Grain Farmers Act
M-2.1	Marriage (Prohibited Degrees) Act
M-3.2	Meat Inspection Act
M-5.8	Merchant Navy Veterans Day Act
M-5	Members of Parliament Retiring Allowances Act
M-6	Merchant Seamen Compensation Act
M-7.01	Migratory Birds Convention Act, 1994
M-7.6	Mi’kmaq Education Act
M-8.6	Modernization of Benefits and Obligations Act
M-8	Ministries and Ministers of State Act
M-9	Motor Vehicle Fuel Consumption Standards Act
N-10.5	National Holocaust Monument Act
N-10.7	National Horse of Canada Act
N-11.2	National Housing Strategy Act
N-11.5	National Hunting, Trapping and Fishing Heritage Day Act
N-11	National Housing Act
N-12	National Library Act
N-13.6	National Organ Donor Week Act
N-14.01	Canada National Parks Act
N-14.2	National Peacekeepers’ Day Act
N-14.3	National Philanthropy Day Act
N-14.4	National Public Service Week: Serving Canadians Better Act
N-1.4	National Acadian Day Act
N-15.8	An Act to permit the resumption and continuation of the operation of the National Research Universal Reactor at Chalk River
N-15	National Research Council Act
N-16.2	National Ribbon Skirt Day Act
N-16.4	National Round Table on the Environment and the Economy Act
N-16.56	National Security Act, 2017
N-16.5	National Seal Products Day Act
N-16.62	National Security and Intelligence Review Agency Act
N-16.65	National Sickle Cell Awareness Day Act
N-16.6	National Security and Intelligence Committee of Parliamentarians Act
N-16.75	National Strategy for Alzheimer’s Disease and Other Dementias Act
N-16.77	National Strategy for Eye Care Act
N-16.7	National Sports of Canada Act
N-16.85	National Strategy Respecting Environmental Racism and Environmental Justice Act
N-16.8	National Strategy for Safe and Environmentally Sound Disposal of Lamps Containing Mercury Act
N-17	National Symbol of Canada Act
N-20.8	Department of Natural Resources Act
N-20.9	Natural Resources Transfer (School Lands) Amendment Act, 1961
N-21	Natural Sciences and Engineering Research Council Act
N-22.4	Nelson House First Nation Flooded Land Act
N-22.6	New Bridge for the St. Lawrence Act
N-22.7	New Brunswick Indian Reserves Agreement Act
N-22	Canadian Navigable Waters Act
N-23.3	Nisga’a Final Agreement Act
N-23.6	Non-smokers’ Health Act
N-23.7	Nordion and Theratronics Divestiture Authorization Act
N-23.8	North American Free Trade Agreement Implementation Act
N-23	Newfoundland and Labrador Additional Financial Assistance Act
N-24.2	Northern Canada Power Commission (Share Issuance and Sale Authorization) Act
N-24.5	Northern Canada Power Commission Yukon Assets Disposal Authorization Act
N-2.5	National Archives of Canada Act
N-26.3	Northern Transportation Company Limited Disposal Authorization Act
N-26.5	Northumberland Strait Crossing Act
N-26	Northern Pipeline Act
N-27.05	Northwest Territories Act
N-27.1	Northwest Territories Surface Rights Board Act
N-27.3	Northwest Territories Waters Act
N-27.5	Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act
N-27.7	Nuclear Fuel Waste Act
